Metric,Score
Accuracy,0.960000
MCC,0.954366
Misclassified,32
Precision-1,0.950000
Precision-2,0.977011
Precision-3,0.950980
Precision-4,1.000000
Precision-5,1.000000
Precision-6,0.920792
Precision-7,0.954128
Precision-8,0.928571
Recall-1,0.979381
Recall-2,0.934066
Recall-3,1.000000
Recall-4,0.953271
Recall-5,1.000000
Recall-6,0.911765
Recall-7,1.000000
Recall-8,0.900990
F1_Score-1,0.964467
F1_Score-2,0.955056
F1_Score-3,0.974874
F1_Score-4,0.976077
F1_Score-5,1.000000
F1_Score-6,0.916256
F1_Score-7,0.976526
F1_Score-8,0.914573
